knot,newton_converged,newton_termination,newton_iterations,newton_grad_norm,newton_relative_grad_norm,feasible_init_used,min_cone_margin,min_alpha,force_norm,certification_mode,selected_seed_mode,selected_objective,selected_grad_norm,selected_relative_grad_norm,selected_stationarity_passed,selected_min_cone_margin,selected_min_alpha,hessian_llt_success,hessian_eig_min,hessian_eig_max,hessian_condition,newton_decrement,newton_step_norm,action_velocity_mismatch,accepted_node_feasible,accepted_node_grad_norm,accepted_node_relative_grad_norm,accepted_node_stationarity_passed,cold_restart_converged,cold_restart_termination,cold_restart_iterations,cold_restart_grad_norm,cold_restart_relative_grad_norm,cold_restart_feasible_init_used,cold_restart_min_cone_margin,cold_restart_min_alpha,cold_restart_force_norm
30,1,direct,0,1.4719897497792153e-09,1.1887101048308859e-11,0,0.3270146950620435,0.97284702150584712,0.48324552862677289,action_stationarity_plus_shooting_defect_v3,accepted_direct,-59.172937994401693,1.4719897497792153e-09,1.1887101048308859e-11,1,0.3270146950620435,0.97284702150584712,1,0.01128772933009602,33.97109627495977,3009.5597866954517,4.5952933623282456e-10,6.6948648727198017e-10,0,1,1.4719897497792153e-09,1.1887101048308859e-11,1,1,gradient,3,3.1317941997358544e-09,2.5290905809413558e-11,0,0.32701468889239704,0.97284702063633399,0.48324553662747455
31,1,gradient,3,3.0124423417094353e-10,2.3692975797186484e-12,0,0.75024210877723641,1.3732420337671356,0.34563716022896201,action_stationarity_plus_shooting_defect_v3,cold_refined,-62.931237224162388,3.0124423417094353e-10,2.3692975797186484e-12,1,0.75024210877723641,1.3732420337671356,1,0.011288128860154173,33.939422169125827,3006.6473008585308,2.3245348698168812e-10,1.3007670355438663e-09,1.5590673343467129e-09,1,6.584581466005095e-09,5.178798848817583e-11,1,1,gradient,3,3.0124423417094353e-10,2.3692975797186484e-12,0,0.75024210877723641,1.3732420337671356,0.34563716022896201
32,1,direct,0,1.3318054079920909e-14,1.0059139395961662e-16,0,0.0015386731266599923,0.29550816484882092,27.070493270219469,action_stationarity_plus_shooting_defect_v3,accepted_direct,-70.440532941485472,1.3318054079920909e-14,1.0059139395961662e-16,1,0.0015386731266599923,0.29550816484882092,1,0.011288706371662027,460.06187052630838,40754.171060839974,5.7806064216368049e-15,2.9649691921126377e-14,0,1,1.3318054079920909e-14,1.0059139395961662e-16,1,1,gradient,16,4.985128031969091e-12,3.7652721245438058e-14,1,0.001538673126648557,0.29550816484881826,27.070493270420876
33,1,gradient,33,1.4866319514579515e-11,1.1246394007390697e-13,1,4.0360857966523214e-08,0.00020547552746547071,535.93193945764745,action_stationarity_plus_shooting_defect_v3,cold_refined,-69.764540513591029,1.4866319514579515e-11,1.1246394007390697e-13,1,4.0360857966523214e-08,0.00020547552746547071,1,0.011288312199783991,127526.00759186895,11297172.27295585,6.6236475729878912e-14,8.1723753093603841e-14,3.5092469265085804e-14,1,4.5208042030802072e-11,3.4199954634532138e-13,1,1,gradient,33,1.4866319514579515e-11,1.1246394007390697e-13,1,4.0360857966523214e-08,0.00020547552746547071,535.93193945764745
34,1,max_iterations,999,4.4601973693440826e-08,3.4391138751635283e-10,1,1.198857696858789e-07,0.00034816347133789782,303.76033642131443,action_stationarity_plus_shooting_defect_v3,cold_refined,-67.35652539268861,4.4601973693440826e-08,3.4391138751635283e-10,1,1.198857696858789e-07,0.00034816347133789782,1,0.011290569172435911,36665.100195594823,3247409.376411838,8.2271456793512303e-10,2.2573602599556994e-10,3.5277251564958235e-10,1,4.1004387847695512e-07,3.1617156711336093e-09,1,0,max_iterations,999,4.4601973693440826e-08,3.4391138751635283e-10,1,1.198857696858789e-07,0.00034816347133789782,303.76033642131443
35,1,gradient,14,1.3032070256412099e-11,1.0646233356052688e-13,0,7.8884888703410688e-08,0.00029108798679695902,411.0887836665047,action_stationarity_plus_shooting_defect_v3,cold_refined,-60.332677672291545,1.3032070256412099e-11,1.0646233356052688e-13,1,7.8884888703410688e-08,0.00029108798679695902,1,0.011294280113070347,74182.184606119888,6568119.7795220511,6.8111812362517459e-14,2.9722599137869919e-14,1.3659506827046605e-13,1,1.888674424516275e-11,1.5429067110128192e-13,1,1,gradient,14,1.3032070256412099e-11,1.0646233356052688e-13,0,7.8884888703410688e-08,0.00029108798679695902,411.0887836665047
36,1,direct,0,6.0960690526621758e-11,6.1004831790031794e-13,0,2.1542609783296187e-08,0.00014807031954368333,693.74707622651454,action_stationarity_plus_shooting_defect_v3,accepted_direct,-47.262607932593454,6.0960690526621758e-11,6.1004831790031794e-13,1,2.1542609783296187e-08,0.00014807031954368333,1,0.011297033981564363,192481.30855523454,17038216.302557372,1.4244950732086362e-13,7.0898834011475403e-14,0,1,6.0960690526621758e-11,6.1004831790031794e-13,1,1,gradient,14,6.5993418465219578e-11,6.6041203896169254e-13,0,2.1542609783343945e-08,0.00014807031954384986,693.74707622576943
37,1,direct,0,6.1751952511138353e-12,6.4585362908003547e-14,0,1.3323507286517114e-07,0.00036885243637885257,279.72641004719333,action_stationarity_plus_shooting_defect_v3,accepted_direct,-44.251006786556687,6.1751952511138353e-12,6.4585362908003547e-14,1,1.3323507286517114e-07,0.00036885243637885257,1,0.011298699464653636,31759.100827773564,2810863.4030958489,3.7511798299422274e-14,9.4115227356978898e-14,0,1,6.1751952511138353e-12,6.4585362908003547e-14,1,1,gradient,12,2.7014348023030062e-09,2.8253867284207525e-11,0,1.3323507278642632e-07,0.00036885243626441633,279.72641012179128
38,1,direct,0,1.157838013877774e-12,1.2067680038223005e-14,0,5.0721477672436042e-08,0.00022795966215445607,454.83503047655643,action_stationarity_plus_shooting_defect_v3,accepted_direct,-44.987091470069508,1.157838013877774e-12,1.2067680038223005e-14,1,5.0721477672436042e-08,0.00022795966215445607,1,0.011299211604398455,84523.378930129431,7480466.9466697071,1.3326547972974222e-14,8.1757690600439051e-14,0,1,1.157838013877774e-12,1.2067680038223005e-14,1,1,gradient,13,2.9016690115739392e-11,3.0242929312042382e-13,0,5.0721477672429147e-08,0.00022795966215448382,454.83503047675765
39,1,direct,0,4.8070158363898338e-12,5.0888748879021802e-14,0,4.2868536226317789e-08,0.00020937842963381081,493.94267431380536,action_stationarity_plus_shooting_defect_v3,accepted_direct,-45.444850908676983,4.8070158363898338e-12,5.0888748879021802e-14,1,4.2868536226317789e-08,0.00020937842963381081,1,0.011299416619728626,98763.305881186432,8740566.8102145251,1.8535784944695377e-14,5.2409364893805812e-14,0,1,4.8070158363898338e-12,5.0888748879021802e-14,1,1,gradient,14,7.2534230294728484e-12,7.6787270028503204e-14,0,4.2868536226318147e-08,0.00020937842963379,493.94267431370326
40,1,gradient,37,5.839440955855306e-12,5.8727448952108701e-14,0,9.0321792105373155e-08,0.00033278495392841112,477.36580810292355,action_stationarity_plus_shooting_defect_v3,cold_refined,-53.573491826626565,5.839440955855306e-12,5.8727448952108701e-14,1,9.0321792105373155e-08,0.00033278495392841112,1,0.011300462159074097,86156.58174392191,7624164.4395702444,3.0317735463091922e-14,3.0262802115187212e-14,6.1707492586543434e-14,1,2.0039800023944414e-11,2.0154092520390653e-13,1,1,gradient,37,5.839440955855306e-12,5.8727448952108701e-14,0,9.0321792105373155e-08,0.00033278495392841112,477.36580810292355
41,1,direct,0,8.7308115698988573e-12,8.2814288021448497e-14,0,1.6056437886930711e-07,0.00040927253391465079,260.22114957055084,action_stationarity_plus_shooting_defect_v3,accepted_direct,-52.531701987521288,8.7308115698988573e-12,8.2814288021448497e-14,1,1.6056437886930711e-07,0.00040927253391465079,1,0.011301381968391462,28195.21710009946,2494846.8407631847,5.4137056644945366e-14,7.7627411727858694e-14,0,1,8.7308115698988573e-12,8.2814288021448497e-14,1,1,step,14,1.7632108881962412e-08,1.6724568291115924e-10,1,1.6056437822043511e-07,0.00040927253305404754,260.22115005492884
